Nodes	expA	expR	expN	expD	expC	expQ	expE	expG	expH	expI	expL	expK	expM	expF	expP	expS	expT	expW	expY	expV	ebA	ebR	ebN	ebD	ebC	ebQ	ebE	ebG	ebH	ebI	ebL	ebK	ebM	ebF	ebP	ebS	ebT	ebW	ebY	ebV
0	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.102041	0.0938776	0.0897959	0.0938776	0.0693878	0.106122	0.077551	0.134694	0.0612245	0.0857143	0.138776	0.0571429	0.0693878	0.0734694	0.102041	0.0816327	0.0938776	0.0489796	0.0693878	0.126531
1	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.126531	0.114286	0.0979592	0.126531	0.0979592	0.102041	0.0979592	0.159184	0.0897959	0.110204	0.15102	0.077551	0.0897959	0.0979592	0.114286	0.114286	0.0938776	0.0693878	0.0897959	0.142857
2	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.102041	0.106122	0.126531	0.102041	0.0857143	0.0938776	0.0979592	0.15102	0.077551	0.146939	0.142857	0.0938776	0.0857143	0.0897959	0.106122	0.0979592	0.106122	0.0693878	0.0857143	0.118367
3	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.159184	0.155102	0.106122	0.142857	0.110204	0.114286	0.110204	0.191837	0.102041	0.134694	0.17551	0.0897959	0.0938776	0.118367	0.15102	0.122449	0.118367	0.0979592	0.106122	0.15102
4	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.167347	0.15102	0.106122	0.142857	0.110204	0.114286	0.106122	0.2	0.102041	0.134694	0.179592	0.0897959	0.0938776	0.114286	0.146939	0.118367	0.114286	0.0979592	0.106122	0.155102
5	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0854328	0.0757372	0.0276047	0.0643508	0.0320269	0.0349271	0.0345466	0.116842	0.0253959	0.0570879	0.098432	0.0109832	0.0150802	0.0381111	0.0744108	0.0486818	0.0426469	0.0165925	0.0257238	0.0753853
6	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.171429	0.159184	0.146939	0.163265	0.15102	0.159184	0.15102	0.228571	0.15102	0.146939	0.24898	0.118367	0.130612	0.142857	0.167347	0.159184	0.142857	0.122449	0.134694	0.17551
7	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.167347	0.15102	0.163265	0.191837	0.142857	0.130612	0.138776	0.208163	0.138776	0.187755	0.208163	0.163265	0.130612	0.146939	0.146939	0.183673	0.155102	0.126531	0.134694	0.155102
8	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.167347	0.146939	0.179592	0.179592	0.142857	0.130612	0.138776	0.208163	0.138776	0.195918	0.208163	0.159184	0.130612	0.142857	0.146939	0.191837	0.15102	0.126531	0.138776	0.146939
9	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0659826	0.0364049	0.0687171	0.0705818	0.0319791	0.0197303	0.0316719	0.103302	0.028758	0.0869982	0.101212	0.0503318	0.0229092	0.0324513	0.0385285	0.0875093	0.0443157	0.0127705	0.0252372	0.0406085
